clean_text,label
그웬 챔 저거 맞냐 ㅋㅋ,0
한화 화이팅!!,4
헉,3
ㅋㅋ,4
ㅋㅋ,4
5정글밴 ㄷㄷ,6
구마 코르키랑 다른거 보소,0
?,0
족보닷컴 스티커 킹받네,1
노플인데 왜 혼자 시야없이 저길 가지,1
두부?,0
비디디 pom 줘라,0
근데 지금 dnf에 누가 오든 저거 살릴 수 있을거 같지는 않음,5
ㅋㅋ진 레전드네,4
아쎄이,0
응 3용이야,0
제우스 잘팔았노ㅋㅋ,4
제카 갈리오해서 이기는 꼬라지를 못보네,2
ㅋㅋ 원딜 2렙차,4
이제 담원기아 차례구낭 3세트는 디플러스기아 될예정,0
듀로 빨리 룰러한테 킬 옮겨라,0
4연패 드가자 드가자,0
올프로 퍼스트는 우승을 할수없다 ㄷㄷ,3
해설 존나웃기네 ㅋㅋ 올라갑니다아 !!,4
?? .,6
퍼리가 뭐임??,0
대리아!,4
지가 듀로인줄아나,1
도란아 사랑해,4
좀 아니다 페이커 몇번을 끌리냐 ㅋㅋ,1
?,0
브레멘 음악대 ㄷ,6
스매쉬 저걸 못잡냐,1
상현의 수치다.. 하현의 왕으로 가라 그냥..,2
총? 대? 총대? 혼자 꼴아박고 왜 호응 안함을 총대라고 하냐?,1
암베사 잘 뺏었네,4
캬 쇼메 던지고 바론이면 개싸게 먹었네,4
월즈 젠지 우승,0
대황비!,4
이때를 틈타 바로 욕하는게 무섭긴하네 ㅋㅋ,3
제이카 그리고 유나라,0
이번엔 농심이 이겼네,0
브금이 모범택시네,0
쇼메이커 폼 너무 좋다,4
티원 화이팅,4
ㅅㅅ,4
힘내요 농심,5
날 버린 닭집을 부순다,1
이기는데 코르키를 해?,1
제우스보면 사기시절페이커떠오르긴함,0
그지같은 .,2
가즈아 베릴,4
t1 WIN GG,0
약팀 판독기 농심,0
?,0
웨이. 사람 아니구나ㅋㅋ,1
도루마무,0
88 4후르!!,0
한화 다 잘했다,4
도란이 죽쓰니까 원사이드네,1
대상혁 숭배는 보성씨,4
채팅 역한사람들 너무 많아요!,2
?,0
3셋은 티원이 무조건이긴다 ㅋ,4
굿바이 구마유시,5
천라지망을 펼쳐라!!,0
다드리겠스 운영 ㄷㄷ,6
오늘은 입t추1입니다,0
업 상 혁,0
다들 돌진박을때 자르반이 진 머갈통 깨는 조합인데,1
이걸 지냐,1
사일 먹을 정글 NTR 당했네,5
?,0
이걸 또 5꽉을 가네 ㅋㅋ,4
브리온이 티원을 이긴다고?,6
켄치 화이팅!!,4
이퀄 라인에 깔면되는걸 ㄷㄷ,6
웰컴백 스매쉬,4
2천골드짜리 데스,1
와 진짜 못싸운다 ㅋㅋ,1
그래도 라인스왑 늦어져서 재밌따잉,4
한화 몇번째고,0
애쉬브라움?,6
ㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!ㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!ㅋㅋ,4
히오쑤왕 다시 히오스 와라..,0
1세트 압도적 승리 2세트 비비다가 패배 3세트 압도적 패배 그 패턴 시작 ㅋㅋ,4
신 마 유시,4
구마유시 화이팅!!,4
아무 의미없는 킬 ㅋㅋ,0
엄란,2
너거인생부터좀 이겨 ㅋㅋ,2
진짜 ㅋㅋ,0
드럽게 재미없고,1
와 오늘 제카 잘하네,4
아,0
도란아 미안해 돌아와줘ㅠㅠ,5
양심이업노 ㅋㅋ,1
빅라 마스터 솔랭도 캐리 힘들어보이는데,5
리치 예전에 젠지 미드였음 ㅋㅋ,0
다 풀어주고 설렁설렁 해서 젠지는 져라 그래야 잼있어지지,0
