lap_number,lap_start_kst,lap_end_kst
1,,
2,2024-07-07 23:04:48.941000+09:00,2024-07-07 23:06:20.361000+09:00
3,2024-07-07 23:06:20.512000+09:00,2024-07-07 23:07:52.228000+09:00
4,2024-07-07 23:07:52.099000+09:00,2024-07-07 23:09:24.087000+09:00
5,2024-07-07 23:09:24.033000+09:00,2024-07-07 23:10:55.710000+09:00
6,2024-07-07 23:10:55.799000+09:00,2024-07-07 23:12:27.545000+09:00
7,2024-07-07 23:12:27.443000+09:00,2024-07-07 23:13:59.118000+09:00
8,2024-07-07 23:13:59.281000+09:00,2024-07-07 23:15:31.041000+09:00
9,2024-07-07 23:15:30.995000+09:00,2024-07-07 23:17:02.559000+09:00
10,2024-07-07 23:17:02.582000+09:00,2024-07-07 23:18:34.097000+09:00
11,2024-07-07 23:18:34.108000+09:00,2024-07-07 23:20:05.595000+09:00
12,2024-07-07 23:20:05.572000+09:00,2024-07-07 23:21:37.135000+09:00
13,2024-07-07 23:21:37.040000+09:00,2024-07-07 23:23:08.921000+09:00
14,2024-07-07 23:23:08.945000+09:00,2024-07-07 23:24:40.554000+09:00
15,2024-07-07 23:24:40.578000+09:00,2024-07-07 23:26:12.141000+09:00
16,2024-07-07 23:26:12.237000+09:00,2024-07-07 23:27:44.168000+09:00
17,2024-07-07 23:27:44.227000+09:00,2024-07-07 23:29:17.948000+09:00
18,2024-07-07 23:29:17.771000+09:00,2024-07-07 23:30:52.842000+09:00
19,2024-07-07 23:30:52.867000+09:00,2024-07-07 23:32:36.578000+09:00
20,2024-07-07 23:32:36.572000+09:00,2024-07-07 23:34:16.593000+09:00
21,2024-07-07 23:34:16.551000+09:00,2024-07-07 23:35:48.707000+09:00
22,2024-07-07 23:35:48.789000+09:00,2024-07-07 23:37:19.884000+09:00
23,2024-07-07 23:37:19.817000+09:00,2024-07-07 23:38:50.924000+09:00
24,2024-07-07 23:38:50.891000+09:00,2024-07-07 23:40:22.526000+09:00
25,2024-07-07 23:40:22.555000+09:00,2024-07-07 23:41:57.543000+09:00
26,2024-07-07 23:41:57.554000+09:00,2024-07-07 23:43:38.346000+09:00
27,2024-07-07 23:43:38.322000+09:00,2024-07-07 23:45:23.505000+09:00
28,2024-07-07 23:45:23.481000+09:00,2024-07-07 23:47:24.347000+09:00
29,2024-07-07 23:47:24.424000+09:00,2024-07-07 23:49:04.844000+09:00
30,2024-07-07 23:49:04.695000+09:00,2024-07-07 23:50:45.162000+09:00
31,2024-07-07 23:50:45.325000+09:00,2024-07-07 23:52:26.863000+09:00
32,2024-07-07 23:52:26.885000+09:00,2024-07-07 23:54:09.360000+09:00
33,2024-07-07 23:54:09.330000+09:00,2024-07-07 23:55:51.765000+09:00
34,2024-07-07 23:55:51.747000+09:00,2024-07-07 23:57:34.504000+09:00
35,2024-07-07 23:57:34.436000+09:00,2024-07-07 23:59:16.707000+09:00
36,2024-07-07 23:59:16.820000+09:00,2024-07-08 00:00:58.744000+09:00
37,2024-07-08 00:00:58.721000+09:00,2024-07-08 00:02:38.432000+09:00
38,2024-07-08 00:02:38.413000+09:00,2024-07-08 00:04:15.633000+09:00
39,2024-07-08 00:04:15.601000+09:00,2024-07-08 00:06:12.990000+09:00
40,2024-07-08 00:06:13.073000+09:00,2024-07-08 00:07:43.391000+09:00
41,2024-07-08 00:07:43.491000+09:00,2024-07-08 00:09:13.609000+09:00
42,2024-07-08 00:09:13.478000+09:00,2024-07-08 00:10:43.095000+09:00
43,2024-07-08 00:10:43.050000+09:00,2024-07-08 00:12:12.843000+09:00
44,2024-07-08 00:12:12.874000+09:00,2024-07-08 00:13:42.571000+09:00
45,2024-07-08 00:13:42.570000+09:00,2024-07-08 00:15:12.008000+09:00
46,2024-07-08 00:15:12.033000+09:00,2024-07-08 00:16:41.674000+09:00
47,2024-07-08 00:16:41.627000+09:00,2024-07-08 00:18:11.165000+09:00
48,2024-07-08 00:18:11.268000+09:00,2024-07-08 00:19:40.847000+09:00
49,2024-07-08 00:19:40.785000+09:00,2024-07-08 00:21:10.452000+09:00
50,2024-07-08 00:21:10.411000+09:00,2024-07-08 00:22:40.093000+09:00
51,2024-07-08 00:22:40.226000+09:00,2024-07-08 00:24:09.969000+09:00
52,2024-07-08 00:24:09.955000+09:00,2024-07-08 00:25:40.101000+09:00
